Light,Nitrate,Iron,Phosphate,Temperature,pH,CO2,Population
723.7,1.53,0.1,0.15,28.74,7.69,7.74,4154.79
607.86,4.51,0.12,0.06,13.02,7.03,4.8,3948.5
711.5,5.45,0.05,0.17,16.22,7.69,7.48,4420.79
479.83,5.6,0.15,0.2,17.16,7.25,9.66,2940.16
1174.85,3.75,0.19,0.12,27.44,7.1,3.46,5087.65
1859.08,2.86,0.06,0.04,16.2,7.79,3.12,1651.63
1658.76,1.01,0.2,0.08,27.49,7.53,2.76,2355.86
1810.25,7.05,0.16,0.12,20.0,7.84,6.73,2102.37
990.17,4.94,0.17,0.11,20.77,7.93,5.08,4395.04
1723.21,5.96,0.02,0.03,29.29,7.59,6.8,2602.74
1080.88,2.92,0.03,0.18,10.53,7.41,4.88,5138.96
1131.7,7.24,0.04,0.14,12.33,7.65,8.55,4306.48
1123.67,5.14,0.14,0.14,19.07,7.16,4.07,5180.68
1243.94,7.39,0.12,0.03,29.11,7.76,8.55,4340.28
1732.22,7.28,0.02,0.19,22.25,7.04,3.91,2586.34
1913.81,4.43,0.1,0.08,28.33,7.6,5.46,1221.87
1442.11,5.64,0.07,0.14,13.23,7.83,5.14,3882.25
978.24,3.07,0.03,0.09,13.38,7.37,7.96,4904.46
717.63,1.65,0.19,0.19,24.11,7.72,7.17,3864.83
1179.71,1.33,0.15,0.06,10.63,7.88,9.81,4566.5
953.57,7.37,0.03,0.11,27.79,7.47,5.86,4635.41
1009.02,1.92,0.13,0.08,17.52,7.54,5.37,4714.33
543.31,6.68,0.05,0.04,23.22,7.55,4.37,3628.56
808.98,3.96,0.13,0.11,18.06,7.57,9.68,4039.83
1634.86,3.51,0.19,0.14,22.19,7.83,9.44,2841.53
1194.77,1.41,0.14,0.07,25.62,7.01,8.98,5100.45
964.11,6.3,0.17,0.06,24.43,7.29,5.09,5070.1
802.84,5.88,0.07,0.01,14.47,7.06,7.67,4639.02
249.97,2.57,0.05,0.03,10.78,7.22,6.39,2012.99
1270.97,4.36,0.08,0.12,28.62,7.46,8.4,4371.93
1039.52,4.8,0.19,0.05,29.97,7.36,6.34,4956.2
623.93,5.72,0.2,0.17,19.92,7.6,4.21,4425.9
1098.39,1.96,0.05,0.06,28.34,7.17,6.59,5134.35
946.71,1.18,0.16,0.19,24.22,7.36,4.63,4705.26
1866.91,5.39,0.14,0.03,24.02,8.0,9.82,1657.39
136.63,4.17,0.18,0.03,27.48,7.46,2.1,727.77
1725.4,7.82,0.04,0.1,24.95,7.63,3.32,2413.55
1166.31,4.49,0.15,0.08,18.25,7.0,8.75,4279.51
889.17,7.16,0.13,0.2,17.4,7.61,7.92,4926.95
807.36,1.38,0.18,0.03,11.4,7.31,7.24,4863.88
1396.49,6.26,0.2,0.19,27.01,7.74,3.61,3606.93
1406.75,2.17,0.09,0.18,11.46,7.57,4.97,4039.78
466.75,4.14,0.03,0.17,27.06,7.51,3.36,2869.65
1392.17,6.83,0.02,0.06,11.21,7.95,8.1,4457.55
1492.13,2.33,0.01,0.09,11.09,7.77,4.21,3339.98
1656.38,4.85,0.11,0.11,27.92,7.72,7.02,2863.37
433.08,1.56,0.12,0.05,16.28,7.29,9.14,3293.27
892.3,1.87,0.17,0.1,28.23,7.33,9.41,4659.56
1555.12,6.14,0.08,0.02,19.64,7.88,5.09,3781.27
1384.68,6.07,0.04,0.03,28.13,7.98,9.44,3759.08
1299.73,4.91,0.11,0.15,23.85,7.8,3.23,4327.95
1671.39,2.47,0.01,0.04,14.19,7.19,6.16,3033.8
223.45,4.3,0.12,0.07,29.23,7.7,9.91,1225.58
322.04,5.49,0.15,0.18,23.32,7.26,9.54,2460.8
1768.83,2.78,0.1,0.04,12.95,7.02,7.16,2465.96
527.02,5.11,0.17,0.07,19.64,7.16,4.3,3544.13
1400.81,5.01,0.07,0.17,29.71,7.79,2.12,4454.5
1760.68,4.26,0.1,0.18,18.72,7.78,3.3,2121.78
908.31,3.25,0.02,0.08,25.62,7.21,6.78,5087.82
1204.93,2.41,0.16,0.15,25.35,7.93,4.78,4140.48
1299.89,2.95,0.13,0.07,15.05,7.99,5.26,4845.57
350.24,2.04,0.12,0.09,11.33,7.71,2.25,2315.92
539.37,7.25,0.14,0.16,12.27,7.11,2.41,3361.02
859.85,5.93,0.15,0.04,26.74,7.17,5.69,4850.42
1040.93,7.81,0.02,0.1,23.35,7.77,8.31,4688.72
1591.41,4.86,0.09,0.05,29.02,7.95,2.55,2952.27
249.9,6.74,0.03,0.16,12.22,7.44,8.65,1345.45
1229.17,7.21,0.2,0.14,10.19,7.5,5.75,4183.54
1000.02,6.77,0.12,0.14,19.95,7.17,4.33,4794.7
1631.28,6.58,0.06,0.1,16.89,7.25,4.26,2618.05
85.18,4.24,0.19,0.19,17.27,7.51,4.33,297.64
1411.98,2.2,0.11,0.15,20.83,7.23,2.15,3799.49
177.85,3.39,0.12,0.02,24.25,7.16,3.84,908.09
950.77,7.08,0.11,0.1,11.56,7.6,4.08,4789.74
462.42,5.03,0.02,0.17,13.71,7.61,9.07,3506.87
1030.46,1.87,0.15,0.08,22.66,7.86,5.74,4848.07
240.35,2.64,0.08,0.11,14.76,7.2,4.61,1704.49
743.83,3.33,0.19,0.15,16.86,7.03,3.68,4260.92
1249.31,7.23,0.11,0.05,19.47,7.84,4.61,4491.22
643.67,7.39,0.08,0.07,17.19,7.66,6.06,3817.79
478.73,5.04,0.13,0.04,18.48,7.21,8.29,2908.17
1601.47,6.88,0.17,0.03,12.89,7.8,7.83,2852.67
524.71,4.91,0.13,0.19,16.66,7.74,8.53,3234.32
648.01,2.75,0.09,0.15,18.68,7.49,2.6,4475.71
1349.11,6.38,0.03,0.15,11.85,7.07,6.24,3934.57
1928.09,5.87,0.19,0.14,27.02,7.94,8.0,825.82
1934.94,7.04,0.19,0.17,25.16,7.07,8.47,696.18
1035.36,6.5,0.16,0.05,24.6,7.63,7.09,5212.58
1162.47,5.74,0.13,0.06,19.48,7.4,7.54,4371.12
50.2,5.08,0.14,0.19,23.22,7.49,8.65,47.85
191.9,7.74,0.14,0.08,26.45,7.39,3.97,1424.11
861.13,3.59,0.08,0.13,12.97,7.37,2.66,4336.92
760.44,4.82,0.16,0.08,27.12,7.13,9.03,4542.98
540.11,6.72,0.01,0.1,10.82,7.04,2.26,3224.41
658.07,5.83,0.18,0.08,19.54,7.73,8.82,4307.59
1198.09,2.14,0.19,0.17,16.6,7.83,4.28,4594.66
1420.31,5.8,0.13,0.17,25.87,7.4,3.58,4175.88
571.47,1.38,0.12,0.16,13.95,7.82,4.34,3769.99
1278.18,4.17,0.19,0.15,13.48,7.39,4.67,4374.51
1147.74,4.31,0.08,0.17,14.46,7.29,7.6,4226.22
1184.57,5.55,0.12,0.06,11.23,7.98,8.18,4769.02
770.57,5.94,0.14,0.15,21.56,7.0,7.19,4708.72
1500.31,2.85,0.18,0.12,19.2,7.86,8.18,3634.96
414.62,6.86,0.08,0.05,16.05,7.78,7.91,2591.21
232.57,2.67,0.18,0.12,23.18,7.12,6.11,1562.21
1021.48,1.8,0.11,0.11,26.4,7.22,7.11,4953.29
1225.88,6.85,0.05,0.12,25.54,7.76,6.6,4200.63
1118.75,6.43,0.11,0.02,16.81,7.43,2.9,4248.02
1359.3,7.8,0.01,0.02,21.22,7.19,6.4,4134.47
401.44,4.99,0.04,0.13,15.58,7.49,7.12,3234.05
141.9,4.36,0.06,0.13,22.99,7.06,6.2,1332.11
1072.04,1.45,0.12,0.18,28.54,7.91,8.34,4913.53
308.56,2.13,0.12,0.15,21.2,7.63,9.96,2237.17
832.96,5.13,0.14,0.16,18.86,7.73,5.65,4795.86
1411.17,2.31,0.14,0.01,27.34,7.04,6.15,3807.45
821.94,6.26,0.11,0.08,10.23,7.61,8.68,4319.8
942.33,4.81,0.15,0.17,18.47,7.6,8.4,5066.68
648.39,7.1,0.14,0.02,19.81,7.64,5.57,4316.61
138.29,3.48,0.05,0.15,20.68,7.2,7.68,1094.0
1886.53,4.43,0.16,0.14,18.41,7.67,9.99,643.03
620.28,5.02,0.04,0.14,17.6,7.95,5.91,3674.94
1368.15,5.7,0.03,0.08,29.39,7.19,3.63,4368.56
1776.29,3.03,0.07,0.08,21.42,7.8,8.93,2271.42
765.46,5.44,0.03,0.2,25.77,7.78,8.35,4405.28
173.75,3.86,0.03,0.13,10.84,7.55,2.21,919.57
878.84,3.94,0.06,0.01,23.33,7.38,2.69,4532.27
57.55,4.67,0.18,0.16,26.52,7.09,6.93,397.04
482.35,5.0,0.08,0.02,16.86,7.28,9.39,3435.19
1558.57,5.43,0.05,0.08,18.96,7.2,5.19,3063.29
1144.77,6.32,0.03,0.07,28.38,7.63,4.02,4650.56
927.97,1.17,0.11,0.12,22.04,7.34,2.89,4661.93
2005.81,5.74,0.04,0.1,29.09,7.99,6.36,0.0
1413.96,1.41,0.06,0.1,21.1,7.93,6.63,4276.12
301.33,4.07,0.04,0.04,28.8,7.4,3.76,2135.5
1434.41,5.34,0.1,0.15,20.95,7.2,3.05,4269.02
1904.43,1.45,0.06,0.19,26.61,7.92,2.33,1327.17
66.13,5.03,0.12,0.16,25.8,7.35,5.16,309.24
901.29,5.85,0.07,0.16,16.74,7.38,5.23,4695.14
1592.86,6.95,0.12,0.05,29.4,7.87,8.58,3484.22
974.92,5.42,0.06,0.02,11.01,7.28,6.66,4606.72
1718.75,2.23,0.18,0.17,18.25,7.47,5.21,2457.18
1877.15,4.75,0.11,0.09,19.15,7.32,2.32,1051.88
1657.25,5.19,0.17,0.09,24.27,7.89,5.92,2670.41
994.39,3.87,0.13,0.19,29.14,7.88,7.56,4715.97
1805.35,2.52,0.16,0.19,19.68,7.73,9.69,2148.39
1590.62,4.59,0.09,0.1,11.9,7.73,6.11,3508.69
1806.31,7.77,0.14,0.05,14.09,7.13,6.18,1430.36
760.06,5.67,0.03,0.15,29.47,7.05,7.87,4728.56
867.69,3.06,0.14,0.08,18.04,7.87,7.16,4556.22
397.0,1.6,0.07,0.18,17.08,7.49,7.69,2723.69
841.56,6.61,0.12,0.14,24.86,8.0,8.85,4638.14
1632.21,5.76,0.13,0.02,27.95,7.49,9.49,2931.4
1438.86,5.19,0.18,0.13,29.39,7.76,3.03,4089.81
263.45,5.63,0.04,0.04,19.36,7.92,2.31,1449.53
1415.2,3.62,0.14,0.14,26.28,7.5,3.21,4156.99
1658.4,4.1,0.18,0.12,24.81,7.98,9.8,2866.05
1184.42,3.91,0.1,0.11,22.7,7.85,8.66,4400.42
727.73,5.88,0.13,0.03,16.99,7.06,4.84,4228.39
1161.81,5.39,0.06,0.17,15.37,7.71,8.47,4942.59
1134.48,4.71,0.06,0.17,13.73,7.74,2.36,4837.01
465.83,4.62,0.05,0.18,14.27,7.67,2.6,3442.9
220.39,6.85,0.08,0.17,10.42,7.06,4.83,1837.46
1490.94,5.75,0.03,0.09,11.08,7.6,4.6,3169.68
817.63,7.21,0.04,0.03,14.82,7.11,9.61,4405.02
1862.48,2.34,0.08,0.02,28.15,7.55,5.17,1160.46
689.71,6.7,0.11,0.05,28.05,7.69,6.52,4218.23
799.43,7.02,0.13,0.14,11.85,7.98,3.77,4069.19
1312.87,4.27,0.12,0.15,12.55,7.12,2.29,4515.54
46.56,6.32,0.06,0.04,12.43,7.46,6.8,135.94
1493.37,1.97,0.13,0.17,27.59,7.53,9.87,3747.23
520.46,7.6,0.07,0.09,26.14,7.72,3.77,3933.19
1589.83,5.47,0.06,0.08,29.62,7.27,3.59,2964.56
1439.41,2.7,0.03,0.11,26.79,7.55,8.62,3519.95
304.4,5.4,0.2,0.19,23.12,7.53,5.28,2355.75
1105.47,7.82,0.12,0.19,21.73,7.14,4.61,4260.85
84.45,5.16,0.01,0.07,28.98,7.11,2.09,16.26
1221.93,3.1,0.12,0.02,17.13,7.44,6.7,4213.51
525.83,1.85,0.18,0.16,28.57,7.63,7.51,3157.15
521.15,1.33,0.12,0.06,20.59,7.05,9.92,3686.77
359.92,7.11,0.14,0.01,18.09,7.56,8.98,2411.37
1184.9,2.52,0.09,0.13,13.16,7.22,6.9,4139.68
413.38,4.02,0.13,0.08,10.16,7.73,2.46,2651.07
1955.02,3.71,0.18,0.08,15.15,7.72,3.95,353.41
1971.97,5.48,0.17,0.08,14.25,7.43,4.5,140.6
430.64,7.28,0.1,0.09,23.04,7.25,9.93,2745.52
1520.66,5.95,0.01,0.11,21.93,7.27,4.25,3107.72
1553.31,7.13,0.09,0.09,18.26,7.06,6.75,3529.06
1335.16,4.17,0.15,0.15,24.11,7.63,7.26,4596.74
1586.98,2.12,0.08,0.08,11.97,7.26,7.13,3191.42
873.69,1.92,0.18,0.06,18.22,7.65,7.4,4166.75
280.81,2.13,0.09,0.09,24.69,7.87,6.2,2460.08
510.59,5.11,0.04,0.03,11.04,7.9,7.78,3656.97
1306.48,2.23,0.05,0.05,23.22,7.17,2.93,4631.3
1702.95,6.99,0.14,0.09,18.6,7.52,4.58,2140.57
378.43,7.14,0.17,0.16,23.91,7.97,3.84,2880.39
472.38,6.46,0.17,0.17,29.94,7.59,6.02,3196.74
1987.31,6.31,0.11,0.13,11.95,7.86,5.78,474.64
1095.55,4.62,0.06,0.19,21.37,7.3,5.13,4414.23
1344.42,2.91,0.12,0.2,28.69,7.72,8.48,3835.45
1621.6,7.09,0.18,0.14,12.46,7.51,3.39,2711.01
716.44,6.24,0.1,0.17,28.29,7.51,3.53,4027.26
844.2,2.37,0.05,0.19,21.06,7.28,2.32,4864.01
702.66,3.02,0.13,0.14,26.02,7.39,4.1,4532.24
150.57,5.42,0.07,0.01,25.21,7.07,4.16,1026.79
1844.31,5.21,0.07,0.1,10.24,7.8,9.95,1246.94
1261.38,5.84,0.17,0.1,28.39,7.79,9.73,4186.94
1039.72,3.41,0.03,0.08,24.2,7.13,8.08,5124.8
314.51,4.15,0.05,0.19,14.97,7.46,6.68,2453.76
1490.82,2.57,0.09,0.13,18.22,7.76,2.56,3863.78
1574.93,3.45,0.17,0.11,16.93,7.55,2.95,2756.24
1802.02,1.05,0.14,0.04,13.34,7.68,4.75,1821.35
166.27,2.68,0.11,0.05,29.11,7.97,5.52,1117.88
1709.7,1.41,0.07,0.16,24.62,7.03,6.46,2767.94
1479.38,7.98,0.2,0.15,17.58,7.65,2.58,3301.23
570.67,4.54,0.12,0.02,15.32,7.43,8.07,4017.09
466.77,5.61,0.02,0.17,14.41,7.26,6.61,3177.33
955.65,5.14,0.17,0.11,17.35,7.76,3.46,4303.88
131.3,4.0,0.15,0.19,13.15,7.3,6.61,909.11
1672.93,4.93,0.13,0.14,20.51,7.97,9.21,2726.7
54.72,6.04,0.14,0.18,17.97,8.0,7.75,201.63
788.05,6.82,0.08,0.03,11.09,7.74,9.38,4039.09
1860.35,3.46,0.09,0.16,23.1,7.8,3.87,1689.57
1730.99,4.03,0.06,0.19,12.74,7.51,5.86,2182.06
1040.33,6.16,0.11,0.02,14.19,7.94,5.07,4821.79
211.2,1.05,0.05,0.07,21.72,7.87,4.7,1010.41
910.24,6.89,0.01,0.16,25.03,7.5,9.44,4662.15
944.18,4.82,0.07,0.09,10.88,7.47,4.54,4330.79
1315.21,7.02,0.07,0.16,12.01,7.96,5.96,4104.96
411.43,3.79,0.1,0.07,13.32,7.21,5.74,3019.47
1736.15,3.77,0.06,0.01,21.79,7.42,4.96,1767.51
1171.96,5.22,0.02,0.01,22.37,7.62,9.67,5111.64
983.86,7.25,0.11,0.13,22.78,7.59,6.65,4858.74
1209.12,3.28,0.2,0.1,17.43,7.76,5.18,4932.24
1165.94,2.92,0.01,0.19,26.66,7.92,6.21,4611.07
675.15,5.15,0.16,0.03,16.04,7.78,6.85,4519.1
760.11,7.04,0.11,0.07,10.79,7.28,9.22,4298.3
1991.75,4.2,0.05,0.02,12.75,7.78,3.89,0.0
76.67,1.77,0.2,0.16,12.17,7.84,4.31,411.98
942.39,2.31,0.16,0.11,13.61,7.95,8.7,5203.78
322.24,3.3,0.02,0.06,22.25,7.5,6.15,1916.2
1912.04,5.29,0.15,0.02,12.91,7.41,2.65,371.03
720.52,3.33,0.03,0.16,13.59,7.63,3.25,3988.22
1264.33,1.95,0.09,0.05,29.52,7.79,5.82,4724.05
1399.45,7.29,0.18,0.16,11.29,7.77,4.97,3905.81
1284.01,4.85,0.12,0.07,28.36,7.77,5.6,4187.76
1531.72,6.76,0.15,0.08,24.04,7.28,2.56,3446.49
1294.68,3.96,0.17,0.17,11.61,7.16,2.96,4089.82
386.41,5.24,0.02,0.12,10.38,7.64,7.08,2364.84
1771.83,4.01,0.02,0.16,22.49,7.91,9.29,2000.49
961.26,3.0,0.07,0.07,14.35,7.38,8.92,4596.28
1437.28,4.94,0.11,0.15,27.49,7.48,4.23,4179.98
1393.97,6.75,0.15,0.13,22.29,8.0,6.38,3985.45
286.95,2.06,0.01,0.18,18.26,7.15,8.3,1884.39
1333.16,7.53,0.1,0.2,29.27,7.43,6.7,4265.09
1479.24,1.63,0.03,0.04,22.72,7.34,9.24,3974.21
865.46,2.86,0.11,0.11,10.71,7.0,3.97,4648.24
56.26,7.41,0.17,0.12,20.7,7.56,4.74,46.89
732.82,3.8,0.01,0.09,27.15,7.64,8.05,4069.98
612.37,7.73,0.03,0.17,29.04,7.27,6.72,4216.43
1108.99,5.53,0.05,0.18,13.66,7.19,2.67,4629.56
451.96,2.45,0.14,0.1,19.8,7.2,2.39,2839.31
78.15,3.26,0.08,0.06,21.25,7.26,5.55,494.71
1222.19,3.86,0.15,0.15,10.54,7.75,3.94,5019.86
1141.17,6.87,0.03,0.2,13.96,7.98,4.8,4506.53
46.44,3.85,0.05,0.08,27.4,7.58,8.69,0.0
1357.74,6.25,0.15,0.05,15.73,7.23,8.35,3874.39
1326.43,6.82,0.15,0.09,13.13,7.85,5.2,4328.0
1906.01,6.53,0.1,0.19,10.13,7.28,3.21,892.43
409.49,6.78,0.19,0.11,26.69,7.57,3.57,2621.73
754.36,2.0,0.18,0.19,27.11,7.22,8.51,3929.29
1920.74,7.12,0.13,0.15,24.39,7.78,2.82,710.7
756.38,6.22,0.08,0.14,27.92,7.19,5.95,4536.45
1088.05,5.4,0.17,0.18,17.99,7.65,9.01,4348.46
1121.15,5.66,0.13,0.04,18.51,7.29,2.18,4939.03
1404.96,1.09,0.08,0.16,25.2,7.34,9.94,4456.43
670.37,7.55,0.11,0.04,29.98,7.99,4.45,4377.12
743.45,7.58,0.05,0.16,17.55,7.69,7.84,4837.84
748.79,7.57,0.07,0.18,27.91,7.25,9.36,4059.61
347.96,7.38,0.09,0.12,14.87,7.05,9.3,2003.92
217.56,5.83,0.1,0.03,13.13,7.41,4.05,1577.39
1702.83,1.54,0.16,0.13,28.97,7.5,3.33,2031.0
1772.86,6.66,0.07,0.16,14.28,7.55,9.97,2208.36
1601.95,1.49,0.14,0.04,24.9,7.51,2.72,3578.22
940.34,2.48,0.16,0.06,26.26,7.73,5.05,5033.21
952.3,5.09,0.14,0.18,22.63,7.38,7.9,4708.49
1139.11,4.3,0.13,0.16,14.49,7.29,8.6,4250.71
360.55,1.39,0.14,0.07,19.75,7.82,4.61,2634.8
452.17,3.94,0.11,0.1,17.32,7.78,4.41,2635.2
1662.73,3.37,0.14,0.06,21.55,7.65,2.1,2401.36
1004.82,3.4,0.14,0.05,12.41,7.69,7.6,4424.08
1396.54,6.93,0.11,0.08,21.92,7.94,7.4,4052.25
720.81,6.32,0.02,0.11,21.79,7.6,2.06,4451.73
606.39,4.49,0.07,0.1,22.5,7.43,4.87,3560.61
1639.2,2.72,0.16,0.11,22.98,7.1,9.57,2546.44
426.01,2.04,0.12,0.03,19.01,7.34,8.7,2806.78
680.36,7.63,0.05,0.06,16.27,7.93,9.59,4216.63
86.75,5.96,0.18,0.08,21.88,7.02,8.92,0.22
1532.67,5.5,0.02,0.15,10.15,7.77,6.87,3104.1
998.69,6.27,0.18,0.17,14.11,7.46,5.06,4860.98
871.52,1.1,0.01,0.1,14.91,7.92,6.3,4728.63
1545.32,4.29,0.15,0.19,17.78,7.28,6.84,3856.89
184.05,1.1,0.04,0.18,25.1,7.41,5.66,1443.37
1179.9,1.69,0.07,0.07,25.45,7.11,4.73,4291.98
1529.29,6.46,0.12,0.02,28.29,7.87,4.92,3607.2
836.82,7.66,0.18,0.16,29.82,7.21,9.56,4218.78
723.11,6.06,0.1,0.04,19.41,7.77,5.42,4669.62
844.89,7.78,0.08,0.04,22.14,7.82,3.69,4563.94
1245.99,7.23,0.13,0.11,16.6,7.06,9.02,4546.47
739.47,4.74,0.15,0.06,14.62,7.55,8.46,4509.08
1141.78,3.5,0.1,0.19,25.58,7.63,6.92,4629.07
1260.24,2.98,0.05,0.15,20.31,7.62,8.03,4660.64
1929.57,2.76,0.05,0.16,23.6,7.68,6.28,719.35
1087.57,3.43,0.12,0.17,11.59,7.22,8.49,5166.57
52.59,1.89,0.16,0.06,27.98,7.97,9.68,0.0
1143.58,2.51,0.03,0.16,28.93,7.25,7.77,5026.89
1401.15,7.06,0.1,0.14,29.63,7.52,9.43,4399.15
1433.55,7.24,0.03,0.04,22.58,7.63,3.38,4036.69
1935.05,5.89,0.14,0.06,11.81,7.35,2.69,757.1
1567.5,6.59,0.09,0.13,26.87,7.66,2.3,3113.93
881.35,6.11,0.08,0.13,14.38,7.34,7.51,4286.97
954.17,3.97,0.12,0.07,15.49,7.25,6.03,4691.89
963.34,4.41,0.04,0.15,19.22,7.1,6.68,4612.14
415.12,7.1,0.11,0.16,13.51,7.98,2.02,3190.96
848.27,1.29,0.01,0.19,24.57,7.75,5.1,4829.01
1726.63,5.54,0.12,0.11,21.73,7.27,6.98,2101.73
546.26,2.23,0.01,0.14,24.27,8.0,9.62,3785.31
447.25,6.5,0.02,0.18,20.9,7.78,4.38,3198.5
454.98,5.58,0.17,0.13,25.85,8.0,6.21,2879.58
734.34,3.94,0.08,0.17,15.91,7.52,2.59,4452.4
487.59,4.43,0.2,0.09,17.29,7.36,3.36,3478.93
189.6,6.33,0.12,0.11,13.68,7.79,6.23,1671.3
328.41,2.87,0.03,0.14,17.13,7.61,5.77,2758.24
1396.91,3.86,0.04,0.13,14.17,7.31,2.24,3901.02
162.2,7.19,0.02,0.12,20.93,7.83,7.83,541.8
899.83,7.69,0.06,0.07,20.69,7.2,4.36,4607.35
1402.23,5.7,0.19,0.01,13.12,7.81,8.62,3926.38
1283.13,2.8,0.06,0.03,18.18,7.17,7.68,4064.48
603.74,7.23,0.15,0.15,29.27,7.43,2.95,3871.27
795.84,3.57,0.12,0.15,17.26,7.38,6.25,4237.71
1796.09,6.06,0.03,0.04,16.53,7.1,7.25,1935.5
1546.43,4.02,0.11,0.12,26.57,7.12,7.77,3854.89
890.08,5.94,0.08,0.07,15.86,7.8,3.91,4471.43
147.21,1.19,0.11,0.07,22.43,7.99,8.13,745.22
196.54,4.2,0.07,0.19,28.3,7.72,4.2,950.58
1774.28,4.9,0.18,0.06,26.45,7.1,8.75,1893.8
1432.45,2.81,0.15,0.04,14.35,7.62,7.08,3590.8
1143.34,4.29,0.1,0.13,26.1,7.52,6.26,5097.18
1008.38,3.07,0.08,0.02,29.62,7.63,3.93,4260.59
352.53,7.98,0.02,0.09,22.65,7.34,2.91,2735.55
1518.67,1.94,0.14,0.16,20.04,7.1,9.77,3720.82
81.08,1.4,0.18,0.03,27.07,7.6,8.22,0.0
1365.28,1.91,0.14,0.16,23.24,7.6,5.83,3851.6
145.49,5.24,0.12,0.05,15.36,7.48,9.63,783.55
1970.93,1.31,0.14,0.18,11.84,7.21,7.26,662.16
830.58,3.29,0.19,0.06,24.47,7.79,6.99,4858.55
288.37,2.04,0.19,0.11,20.6,7.25,3.49,1701.3
266.33,1.29,0.07,0.09,29.25,7.05,7.86,2156.08
1288.12,1.88,0.12,0.19,15.94,7.64,6.72,4012.86
1917.55,2.56,0.17,0.03,24.76,7.52,9.01,1205.84
533.92,1.07,0.1,0.2,27.81,7.77,7.34,3148.14
1416.73,1.86,0.07,0.16,13.66,7.4,9.04,4281.69
1255.13,6.51,0.14,0.08,16.68,7.6,8.56,4435.62
520.51,3.8,0.19,0.02,26.09,7.06,3.98,3506.12
1418.06,6.98,0.19,0.03,15.41,7.58,5.57,3782.15
