station,Date,Time,NITRATE(PPM),PH,AMMONIA(mg/l),TEMP,DO,TURBIDITY,MANGANESE(mg/l),label_3class
station1,31-08-2022,03:00:00,37.1818,5.5691,0.01956,30.6116,6.6195,20.0191,0.51721,0
Station3,24-03-2022,22:20:00,21.36576,5.28196,0.1107652,29.4953472,6.804356,48.42552,0.7269122,0
Station3,15-02-2022,17:40:00,42.34632,5.63246,0.013487552,25.953246,4.95911964,34.325856,0.8276256,0
station1,19-02-2022,13:40:00,48.4,6.8,0.093,25.93,3.8,25.7,0.87,0
Station3,12-10-2022,03:40:00,39.80471,4.93096,0.123415,26.97979,11.61971,17.53364,0.579835,1
Station3,29-07-2022,01:40:00,126.87075,5.38745,0.074905,24.5925,18.55325,49.07095,3.462166,2
Station2,01-07-2022,21:40:00,14.076,6.8414,0.02378,23.0672,10.1106,31.8389,0.79052,1
Station3,24-12-2022,12:20:00,100.76587,6.98964,0.085792,40.7823,17.32139,18.00565,1.915356,2
Station2,16-07-2022,10:40:00,36.6941,7.8117,0.01822,19.5673,7.6381,18.8645,0.81453,1
station1,18-07-2022,14:40:00,39.6158,6.3062,0.03228,27.3881,16.6582,26.9858,0.46621,2
Station3,23-10-2022,21:40:00,93.84336,4.94404,0.124109,34.87144,11.95236,26.42764,2.975661,1
Station3,02-06-2022,23:00:00,124.76931,4.86019,0.075072,29.68956,5.76936,31.30062,3.196974,0
Station3,18-11-2022,09:20:00,45.58988,6.51549,0.10211,45.00172,4.04454,35.23764,0.699026,0
station1,10-08-2022,20:40:00,28.4579,7.5447,0.04442,28.6229,19.3964,30.7774,0.60518,2
Station2,30-06-2022,22:00:00,3.6969,6.644,0.03434,30.9176,7.6743,20.3972,0.23565,1
Station2,13-06-2022,01:20:00,27.8903,8.0577,0.03357,22.983,17.1573,33.0292,0.5173,2
station1,23-11-2022,20:20:00,25.6195,8.5353,0.02945,28.4093,19.9022,39.522,0.65911,2
Station3,19-12-2022,08:20:00,41.52806,5.68488,0.11088,29.71441,24.37897,43.25441,2.390053,2
station1,09-04-2022,12:40:00,34.1,5.3,0.068,30.46,7,17.3,0.61,0
Station2,21-12-2022,03:20:00,39.9086,5.5202,0.02302,30.3646,16.9755,29.8715,0.78749,2
Station2,28-03-2022,19:00:00,40.8576,5.3892,0.0390936,29.78316,8.2004,18.36,0.68586,1
Station3,17-04-2022,19:00:00,44.119096,7.49321,0.095183,31.6956376,6.04656,74.691225,0.6806912,0
station1,09-07-2022,18:40:00,10.4176,6.2327,0.03305,24.9682,16.7813,22.9774,0.63935,2
Station2,08-11-2022,02:20:00,36.3442,8.9883,0.02274,25.3772,11.1635,37.504,0.73445,1
Station2,06-09-2022,01:00:00,26.7004,8.5622,0.02541,21.1223,15.5961,39.883,0.78272,2
Station3,26-02-2022,11:20:00,130.64058,6.86432,0.021787584,26.056976,2.37989664,24.383916,2.860928,0
Station3,26-09-2022,12:00:00,38.7566,5.07866,0.113431,21.2836,9.24242,28.56826,3.051329,1
station1,12-07-2022,17:40:00,32.4879,7.6916,0.03335,30.0529,9.302,19.6357,0.29709,1
Station2,13-04-2022,06:20:00,32.7376,5.5888,0.088305,27.66808,8.398,45.405,0.66598,1
station1,24-03-2022,03:40:00,40,5.6,0.07,25.18,7.8,22.9,0.6,1
Station2,12-06-2022,10:00:00,36.8786,6.986,0.03523,22.0285,15.7855,35.9155,0.92568,2
Station2,15-02-2022,05:40:00,37.842,6.7804,0.0409016,26.62572,5.54512,32.6268,0.98208,0
Station3,20-01-2023,00:20:00,62.30719,4.84444,0.134152,41.87886,24.72053,46.37642,2.200956,2
Station2,21-05-2022,14:40:00,26.416,6.4128,0.252464,34.60028,4.362171459,37.7366,0.497,0
station1,28-10-2022,23:40:00,25.3876,6.423,0.04143,25.6942,17.9399,30.751,0.2397,2
Station3,15-09-2022,16:20:00,140.55076,5.85516,0.074556,20.92119,11.2127,57.66826,2.984515,1
Station2,12-06-2022,16:00:00,35.0664,5.6882,0.03682,18.5206,15.4323,27.3157,0.91065,2
station1,20-10-2022,12:20:00,9.8903,7.1879,0.03573,30.1915,16.5984,25.8774,0.71327,2
Station3,01-04-2022,14:40:00,43.564836,6.55324,0.22323448,32.3024328,8.050224,34.629,0.767865,1
Station3,25-06-2022,11:40:00,46.56411,5.37293,0.064098,21.69871,5.39401,40.27614,1.825533,0
Station2,30-06-2022,19:00:00,14.0812,7.9644,0.03172,25.8967,6.7419,17.026,0.66859,0
Station3,06-03-2022,10:40:00,25.74848,5.97926,0.07457856,27.6309396,7.4706632,38.72736,0.6245302,1
Station2,06-07-2022,23:00:00,29.7693,7.6665,0.04015,28.8732,14.545,18.5683,0.93229,2
Station2,10-07-2022,03:40:00,33.109,5.9044,0.02521,30.3967,15.7595,21.1135,0.38431,2
Station3,21-07-2022,13:00:00,140.22399,4.62098,0.101899,41.55699,10.35096,56.13277,3.224812,1
Station2,11-03-2022,03:00:00,20.48,5.8882,0.0340816,25.0976,6.3232,28.662,0.61628,0
station1,24-10-2022,07:00:00,19.366,6.4093,0.0255,29.625,7.7329,37.0144,0.45184,1
station1,03-11-2022,03:40:00,22.7955,5.5712,0.02294,20.4807,17.1907,34.4734,0.30371,2
Station3,15-08-2022,10:20:00,67.76838,5.61487,0.132242,30.74542,16.6317,39.06899,2.204518,2
station1,03-05-2022,02:00:00,23.5,6.7,0.44,30.3,6.602316691,36,0.7,0
station1,01-10-2022,09:20:00,6.1528,5.5558,0.04445,18.4202,9.2047,35.4877,0.42674,1
Station3,08-11-2022,17:00:00,28.69122,6.88139,0.108793,21.13865,20.89666,37.21241,1.477416,2
station1,03-09-2022,05:40:00,38.5021,8.6828,0.01604,27.6199,9.6626,17.2741,0.52154,1
Station3,28-06-2022,14:00:00,92.2842,6.78829,0.045033,34.30925,21.77045,23.33297,2.45967,2
station1,28-11-2022,09:20:00,8.5325,7.259,0.01601,26.384,17.4299,18.5223,0.53012,2
Station2,30-12-2022,09:00:00,35.1163,6.7173,0.02211,20.7,9.0322,31.1342,0.50821,1
Station3,01-05-2022,17:20:00,35.878752,5.92928,0.2598954,35.72672708,4.333965633,70.28694,0.55167,0
Station2,20-12-2022,21:00:00,7.8113,5.5078,0.01968,18.6129,12.416,32.0418,0.50601,1
Station2,21-02-2022,06:20:00,140.046,8.9056,0.0219472,21.56572,1.0098,22.059,3.41248,0
station1,06-03-2022,17:40:00,13.4,5.7,0.045,28.55,6.8,16.2,0.66,0
Station2,18-05-2022,05:20:00,30.48,6.3126,0.2545,30.01592,4.372635589,27.4448,0.5964,0
station1,16-09-2022,06:40:00,32.8622,7.8479,0.03804,28.4613,11.371,20.2892,0.27519,1
Station3,03-07-2022,20:00:00,134.39427,7.22279,0.089845,34.13841,12.4261,22.42324,1.289708,1
station1,11-06-2022,07:00:00,3.7923,7.3241,0.0392,24.0398,13.5682,23.0536,0.67384,2
station1,27-06-2022,23:20:00,36.9162,8.3435,0.03592,27.3403,15.0483,22.6489,0.83966,2
station1,24-09-2022,00:00:00,13.1807,7.3031,0.04303,29.5501,18.3347,15.3525,0.38046,2
Station2,21-06-2022,10:20:00,26.6283,7.8195,0.03537,29.7337,14.3335,29.8566,0.92635,2
station1,05-11-2022,06:20:00,33.4158,8.9534,0.01669,23.8486,12.0698,27.2157,0.85087,1
station1,14-09-2022,21:40:00,34.7043,7.2288,0.03454,18.064,7.198,17.7142,0.58023,0
station1,15-02-2022,15:20:00,78.1,6.4,0.045,23.31,4.2,22.4,1,0
Station3,10-12-2022,01:40:00,65.0859,7.14722,0.133206,34.90225,13.55747,20.80198,0.92468,2
Station3,11-03-2022,03:20:00,21.9136,6.28503,0.04089792,25.976016,6.133504,32.10144,0.6347684,0
station1,19-08-2022,08:40:00,1.222,7.0754,0.03019,25.4644,11.1297,17.0988,0.49741,1
Station3,02-02-2022,00:40:00,21.63777,7.07172,0.07100288,23.411861,10.9654748,24.488568,0.6253568,1
Station2,03-03-2022,22:20:00,21.1968,5.3892,0.0330792,26.88884,6.5208,30.498,0.60634,0
Station2,09-09-2022,14:20:00,29.9846,6.827,0.03263,30.5844,16.8422,25.3121,0.95307,2
Station3,13-10-2022,04:00:00,88.05555,6.04733,0.063668,16.53394,9.13896,19.37323,0.795435,1
Station3,23-10-2022,01:40:00,60.62023,6.48138,0.066717,34.95124,4.37838,17.00773,2.956217,0
station1,21-06-2022,13:20:00,39.0241,6.0372,0.04498,23.7481,9.1991,29.5947,0.55031,1
station1,10-07-2022,18:20:00,32.3586,5.8974,0.03369,26.0949,5.4256,35.0102,0.52803,0
station1,12-03-2022,11:00:00,11.6,5,0.11,28.03,7.3,36.3,0.68,1
Station2,24-03-2022,19:40:00,15.6672,5.3892,0.0471128,29.5504,8.398,31.11,0.7455,1
Station3,09-10-2022,20:00:00,20.07633,4.82907,0.075336,14.68558,18.22202,48.30892,3.414871,2
station1,05-12-2022,01:20:00,23.4376,8.2257,0.04131,18.702,18.9475,32.0933,0.51362,2
Station2,05-07-2022,21:40:00,25.2381,5.5058,0.03573,23.4025,14.7719,24.7073,0.57593,2
station1,23-06-2022,01:40:00,32.2535,7.0052,0.02116,27.0384,10.6345,16.8688,0.40638,1
Station2,30-09-2022,21:20:00,35.1828,7.8611,0.0215,26.4323,10.0904,30.6916,0.49058,1
Station3,01-10-2022,05:00:00,28.89818,7.19183,0.095693,17.69416,12.28657,25.65794,2.178679,1
Station2,28-12-2022,05:20:00,3.8154,7.0257,0.01844,20.6264,6.4437,33.8754,0.4156,0
Station2,05-10-2022,10:20:00,22.2043,5.6078,0.03047,21.8828,11.3651,28.8318,0.24815,1
station1,25-08-2022,10:00:00,34.0489,7.9333,0.01579,22.8311,7.9109,25.4503,0.76081,1
Station3,09-07-2022,06:20:00,66.65727,6.9802,0.051736,17.23922,21.38147,49.09364,0.631488,2
station1,19-07-2022,06:00:00,14.9071,7.8907,0.01954,25.7275,13.6182,18.862,0.6312,2
Station2,27-12-2022,19:00:00,8.4643,7.8582,0.02219,19.479,19.7821,35.9853,0.86555,2
Station3,07-08-2022,10:20:00,64.1245,6.18215,0.140131,24.87531,23.93738,17.53506,1.517728,2
Station2,28-10-2022,08:40:00,20.3148,6.9103,0.03898,28.1438,7.2107,16.3815,0.88968,0
Station2,12-06-2022,15:00:00,18.6695,6.8124,0.02801,25.9079,16.7239,30.8228,0.51987,2
Station2,17-04-2022,07:40:00,13.986,5.0898,0.148628,29.27716,8.1016,27.6466,0.72562,1
station1,08-09-2022,20:20:00,20.5595,6.0243,0.03367,24.8549,16.5083,34.0517,0.45975,2
station1,05-09-2022,00:20:00,6.7167,8.5678,0.04391,25.7088,10.1777,30.8815,0.58999,1
Station2,14-04-2022,09:20:00,38.2284,5.5888,0.13601,30.16772,6.422,41.5708,0.68586,0
Station3,10-06-2022,10:00:00,123.8719,6.25653,0.125165,40.54305,25.16623,42.52505,2.442125,2
Station2,24-07-2022,12:20:00,3.2329,7.5176,0.02009,21.9321,10.337,38.6257,0.78013,1
Station2,06-08-2022,16:20:00,34.2438,7.8025,0.01678,25.5053,12.7831,20.9818,0.50274,1
Station2,30-12-2022,21:00:00,26.8884,8.2169,0.03978,18.7419,9.5471,32.373,0.80564,1
Station3,28-04-2022,00:20:00,45.538416,4.53443,0.0714636,31.82327104,5.02203,41.59098,0.7944048,0
Station2,07-11-2022,09:40:00,26.8798,6.6507,0.04282,19.7625,19.1741,23.3281,0.60021,2
station1,28-07-2022,10:00:00,30.2255,8.6977,0.03141,18.8862,15.7426,16.579,0.23082,2
station1,19-02-2022,17:00:00,69.2,6.8,0.02,24.89,5.8,25.2,0.94,0
Station3,21-04-2022,07:20:00,16.444428,7.37341,0.0398038,30.2597614,5.73597,77.693,0.7392378,0
station1,13-03-2022,05:20:00,4.5,5.8,0.085,24.02,6.9,26.4,0.69,0
Station3,29-05-2022,14:40:00,28.39212,5.63068,0.8734655,38.94427025,6.195457126,51.39846,0.662004,0
Station2,13-06-2022,06:00:00,14.2145,7.0261,0.01529,23.2435,19.5125,33.0248,0.59864,2
station1,11-07-2022,04:20:00,31.1033,7.5846,0.01646,29.9701,12.7306,25.9854,0.92286,1
station1,17-03-2022,08:20:00,9,5.4,0.078,26.06,6.7,14.8,0.65,0
Station2,12-07-2022,07:40:00,10.2177,7.7887,0.02055,18.7932,18.5911,22.8086,0.39464,2
Station3,20-07-2022,05:00:00,122.34772,6.90202,0.084958,45.08756,10.81987,59.39824,2.098447,1
Station2,14-06-2022,03:40:00,11.5539,8.6172,0.04109,25.5994,19.1787,35.6744,0.60042,2
station1,11-06-2022,17:40:00,34.0125,5.9081,0.04312,25.9719,18.7235,28.1522,0.23908,2
Station3,16-07-2022,12:40:00,123.98473,4.93277,0.0934,17.96019,17.3826,57.63701,1.517702,2
Station2,29-07-2022,23:20:00,5.1203,6.6454,0.01826,21.7816,5.3971,37.8261,0.39948,0
station1,19-12-2022,16:40:00,13.1832,8.9668,0.02227,25.3522,5.8313,15.3347,0.57047,0
Station3,12-09-2022,22:00:00,47.66473,7.22765,0.0827,44.03461,6.09425,34.64183,3.154859,0
Station2,06-11-2022,22:20:00,3.5079,8.5334,0.03475,24.1254,5.7901,29.5779,0.559,0
station1,24-09-2022,02:40:00,26.2425,7.2854,0.02136,24.4813,9.5866,37.9863,0.49325,1
Station3,15-06-2022,16:00:00,94.56999,5.89676,0.04856,22.35554,14.11989,34.49935,1.114393,2
Station3,03-09-2022,09:20:00,24.2308,6.45758,0.049888,20.79511,4.56415,48.67007,1.278754,0
Station3,29-05-2022,04:20:00,31.5468,6.68542,1.2198908,33.93078,5.916156266,32.50998,0.331002,0
Station2,26-09-2022,15:20:00,26.0191,7.5954,0.0399,24.7661,18.7561,35.8757,0.58708,2
Station3,06-07-2022,10:00:00,130.37734,4.64185,0.083749,34.38413,17.2119,48.85134,1.391526,2
Station2,12-10-2022,12:40:00,7.5714,5.9232,0.01816,27.2972,14.9807,26.3961,0.68482,2
Station2,15-06-2022,18:40:00,8.9679,6.694,0.02616,24.876,5.7275,19.4681,0.32884,0
Station3,20-06-2022,16:40:00,62.37688,5.26599,0.123202,41.96695,17.90243,22.31967,2.966373,2
Station3,21-12-2022,01:40:00,75.08291,7.00355,0.116432,43.63795,13.60439,39.04187,1.430295,2
Station3,26-08-2022,21:20:00,35.4806,6.32469,0.117189,24.64439,18.50155,38.1066,1.492825,2
Station3,09-05-2022,01:20:00,28.306776,6.02886,0.4162602,32.88688304,4.258708347,39.41154,0.772338,0
Station2,09-02-2022,17:00:00,6.324,5.555,0.0331452,24.92556,8.81278,33.5502,0.5952,1
station1,31-05-2022,12:20:00,27.8,6.4,0.19,34.98,5.083797479,27,0.7,0
Station2,19-02-2022,04:00:00,65.28,6.7804,0.0638464,21.67704,4.75296,31.9086,0.92256,0
Station3,06-07-2022,21:40:00,33.21352,7.06809,0.119124,39.43046,13.00067,42.42248,1.088645,2
Station2,04-06-2022,12:00:00,29.2377,7.1708,0.03622,21.7198,6.0047,33.3428,0.39164,0
Station3,30-07-2022,04:20:00,75.32386,4.91005,0.136077,37.59242,15.60076,28.78623,2.782655,2
Station3,26-08-2022,20:40:00,134.1585,5.47351,0.062678,15.78882,8.77752,38.34254,1.951976,1
station1,02-06-2022,20:00:00,1.3711,7.5239,0.03252,23.8554,7.0776,30.3207,0.4014,0
station1,09-05-2022,01:20:00,25.1,6.6,0.141,30.92,5.806010016,21.7,0.7,0
station1,19-04-2022,23:40:00,38,5.2,0.106,25.96,7.3,43.6,0.71,1
Station3,25-02-2022,18:20:00,119.07174,5.82155,0.004150016,25.600564,0.39664944,35.58168,1.53264,0
Station2,21-08-2022,10:20:00,5.2862,7.2843,0.02295,21.1607,8.7392,29.0684,0.72031,1
Station2,01-03-2022,17:40:00,126.7712,7.3852,0.0541296,28.42708,2.163,24.2136,1.50784,0
station1,05-06-2022,12:20:00,31.2412,8.4794,0.04177,26.2543,18.9922,37.3164,0.59607,2
Station2,16-04-2022,05:40:00,0.7252,5.1896,0.100782,28.6396,6.8172,38.9474,0.65604,0
Station2,12-05-2022,12:00:00,30.3784,6.4128,0.199528,34.89376,5.546272158,37.5348,0.2982,0
Station2,07-03-2022,00:00:00,20.1728,5.8882,0.1022448,26.13996,9.6824,36.006,0.63616,1
station1,02-07-2022,07:40:00,27.8887,7.3026,0.02472,20.6548,19.1585,32.5021,0.58729,2
Station2,20-04-2022,02:20:00,38.6428,5.489,0.143538,27.95144,7.0416,25.5277,0.5964,0
station1,26-09-2022,13:00:00,10.0383,6.351,0.04323,28.2658,9.6577,23.4591,0.82951,1
station1,08-04-2022,10:40:00,2.4,5.4,0.095,29.36,7.5,33.2,0.61,1
station1,30-07-2022,04:40:00,36.5391,7.468,0.02154,21.3154,5.9205,25.5489,0.86276,0
Station2,05-11-2022,13:40:00,3.0128,7.5659,0.0446,29.7923,8.931,15.7646,0.58955,1
Station3,18-03-2022,15:20:00,18.297856,6.43622,0.09863616,30.8150964,7.379372,44.66784,0.767865,1
Station3,09-07-2022,18:00:00,62.25107,4.79336,0.067733,19.3616,10.69754,33.47664,0.768027,1
Station2,17-12-2022,03:20:00,32.8759,6.3781,0.0438,30.3691,7.1261,35.603,0.45714,0
station1,08-05-2022,15:20:00,19.9,6.2,0.386,34.42,4.728248441,24.3,0.5,0
station1,15-02-2022,08:40:00,62.8,6.9,0.034,20.82,3.3,29.7,0.77,0
Station2,20-07-2022,06:40:00,29.9401,6.3671,0.03688,24.1104,10.0506,20.0885,0.88539,1
Station3,27-11-2022,07:20:00,146.05381,7.44625,0.130269,15.36854,16.62047,22.58754,1.244184,2
Station2,11-09-2022,09:40:00,29.1754,7.3565,0.01903,25.662,9.8408,16.7108,0.6925,1
Station3,29-11-2022,19:00:00,97.14699,4.97948,0.102921,18.33747,12.71792,37.3375,1.936914,1
Station2,28-08-2022,12:00:00,26.6622,7.7571,0.0388,20.6469,14.4198,37.8733,0.21282,2
Station3,06-12-2022,06:20:00,121.53903,4.78108,0.082602,42.10364,8.5415,31.6251,0.678782,1
Station2,23-10-2022,03:40:00,25.1201,6.3857,0.03374,19.5207,16.1767,37.4166,0.67074,2
station1,14-12-2022,04:00:00,20.0426,6.1563,0.0277,30.3409,15.895,17.9611,0.44956,2
Station3,10-04-2022,07:40:00,11.196052,5.41385,0.0431375,30.37675872,6.248112,30.72405,0.6806912,0
station1,12-06-2022,13:00:00,12.7946,8.4415,0.01715,23.1259,16.8272,19.4917,0.35287,2
Station3,21-08-2022,11:40:00,61.83839,6.61196,0.099335,25.5565,15.26272,20.74536,0.532196,2
station1,15-03-2022,22:40:00,24.9,6,0.107,26.37,8.2,38.2,0.73,1
Station2,08-06-2022,00:20:00,24.215,6.9967,0.01546,26.0787,14.9548,29.1963,0.71626,2
Station2,03-02-2022,09:40:00,21.012,5.757,0.027108,24.51064,9.80298,25.2396,0.70432,1
station1,28-07-2022,16:20:00,34.9274,6.6406,0.01573,23.2167,14.3733,15.5645,0.35124,2
Station2,19-09-2022,17:20:00,21.966,6.1266,0.03859,23.4335,12.1923,15.2401,0.78584,1
Station2,01-06-2022,02:00:00,20.8241,8.1135,0.02406,18.309,11.905,17.8806,0.24459,1
Station2,20-06-2022,07:20:00,21.5395,5.7138,0.02849,26.951,14.5648,17.7244,0.42664,2
Station3,22-06-2022,21:40:00,79.29157,6.72743,0.13568,41.44327,20.41701,52.42046,0.8024,2
station1,06-08-2022,11:40:00,1.5277,5.9805,0.04174,23.5457,16.8532,15.8231,0.94251,2
Station2,05-12-2022,21:20:00,19.2991,6.9462,0.02355,20.8087,9.3798,26.0231,0.84674,1
Station2,28-04-2022,02:20:00,24.6568,6.3872,0.150664,29.30752,5.464845318,35.4159,0.3976,0
Station2,13-12-2022,13:40:00,26.5139,6.9033,0.03398,24.4642,18.4571,29.5066,0.89256,2
Station3,09-12-2022,07:00:00,98.2901,4.63056,0.10932,21.66907,18.75739,24.68738,3.035614,2
Station3,25-12-2022,09:20:00,99.98404,5.30466,0.092879,40.31169,8.45178,39.22506,3.054419,1
Station2,05-10-2022,21:00:00,37.0361,5.9701,0.02405,28.363,15.1042,23.7248,0.67827,2
Station2,10-09-2022,03:40:00,6.9117,6.0034,0.03362,28.4031,13.0964,35.36,0.82389,2
Station3,26-11-2022,05:20:00,79.9944,6.48922,0.145479,34.49949,11.82666,54.78778,0.914765,1
station1,17-09-2022,02:20:00,14.5629,7.3931,0.01828,25.8653,18.1395,39.6262,0.52687,2
Station2,14-09-2022,18:20:00,2.0599,6.6068,0.02285,19.5612,14.4012,30.6884,0.87317,2
Station3,07-10-2022,22:20:00,84.46398,7.16045,0.138435,30.52376,18.28893,25.14284,1.145802,2
station1,07-09-2022,15:40:00,18.4262,6.72,0.03164,27.6334,5.8158,28.8787,0.9581,0
Station2,10-11-2022,11:40:00,17.8566,6.2621,0.0245,20.2545,7.3192,37.7247,0.79606,1
Station3,30-12-2022,15:20:00,91.24003,5.32104,0.094993,20.05935,9.27947,45.7334,1.279579,1
station1,11-11-2022,03:00:00,26.2162,7.4036,0.02256,18.5657,9.7416,26.0693,0.55022,1
Station2,06-01-2023,07:20:00,32.5735,8.7758,0.01568,20.8946,7.8396,31.8372,0.60065,1
Station3,11-09-2022,15:20:00,134.89091,7.21659,0.135382,17.13057,17.3584,50.48755,3.096843,2
Station2,11-12-2022,17:20:00,12.4149,7.4438,0.02299,18.7319,17.4823,20.9769,0.24789,2
Station3,06-03-2022,09:40:00,32.651264,5.50456,0.08540448,27.0129618,8.6349224,23.9904,0.6245302,1
Station3,02-09-2022,03:00:00,29.01308,5.55135,0.057333,26.87114,21.2841,38.57887,2.561139,2
Station2,28-03-2022,11:00:00,26.3168,5.6886,0.0521248,29.11524,8.1016,16.32,0.7455,1
Station3,17-07-2022,12:00:00,36.89221,4.56536,0.065289,36.44474,15.18623,19.48676,0.81657,2
station1,15-12-2022,11:40:00,10.9601,6.3317,0.04145,19.4592,6.2748,26.1699,0.97085,0
station1,24-03-2022,14:20:00,18,5.5,0.019,31.81,7.2,35.4,0.68,0
Station3,08-02-2022,13:20:00,23.13003,4.93729,0.08666528,26.513388,6.792772,21.872268,0.6743616,0
Station2,12-03-2022,09:00:00,4.8128,5.6886,0.0932232,27.50616,5.928,26.52,0.5964,0
Station3,25-11-2022,18:40:00,111.01412,4.83653,0.098977,30.64334,8.23536,45.33302,0.83691,1
Station3,23-06-2022,15:00:00,52.11919,6.45252,0.083788,39.43514,23.79613,46.75163,1.049856,2
Station2,20-08-2022,10:20:00,11.2816,7.5927,0.02228,23.3698,19.6718,26.526,0.38225,2
station1,29-03-2022,10:40:00,26.7,5.8,0.077,28.65,6.8,21,0.64,0
Station2,15-10-2022,17:00:00,18.9804,7.761,0.04482,23.9348,19.5358,37.3191,0.27979,2
station1,21-02-2022,05:00:00,117.2,7.7,0.012,21.43,0.9,21.7,1.15,0
Station2,28-06-2022,23:20:00,13.051,8.7606,0.01738,26.4481,15.7751,15.5446,0.5329,2
Station3,14-04-2022,09:40:00,40.904388,5.59673,0.231217,31.70627372,5.97246,72.7489,0.7338702,0
Station3,15-08-2022,14:20:00,20.42784,6.26298,0.061004,23.58547,15.64383,24.88056,2.772908,2
station1,21-07-2022,19:00:00,39.7081,8.6576,0.04043,19.1411,19.0131,22.176,0.5075,2
Station2,01-06-2022,20:20:00,13.4312,7.9265,0.04043,28.299,10.6353,28.7612,0.96222,1
station1,02-04-2022,08:40:00,1.3,5.1,0.13,29.64,8.3,21.6,0.7,1
Station2,18-11-2022,02:20:00,14.3916,5.8456,0.0371,26.4732,8.7178,27.9804,0.23234,1
Station3,26-04-2022,00:40:00,24.72414,4.74589,0.2405534,31.20637608,5.8191,42.86232,0.7061376,0
station1,05-12-2022,13:40:00,28.5548,7.5434,0.03793,29.3125,18.3717,19.3447,0.45677,2
Station2,11-08-2022,02:00:00,33.547,8.8846,0.01856,20.6177,16.2964,21.7115,0.41167,2
Station3,21-06-2022,03:00:00,59.57642,6.93027,0.135931,40.00265,21.0558,21.91354,1.332329,2
Station2,31-05-2022,02:40:00,27.5227,8.4213,0.02105,28.7229,10.308,38.7532,0.97642,1
Station2,21-02-2022,11:40:00,98.736,8.2984,0.0867912,25.61372,1.61568,19.1862,2.36096,0
Station3,18-03-2022,10:40:00,41.854976,7.43431,0.04330368,28.5631434,7.858552,22.16256,0.7473886,1
Station3,14-04-2022,18:20:00,20.618472,5.88178,0.0983535,32.36571316,7.075068,54.73825,0.7125986,0
Station3,26-08-2022,02:00:00,19.94323,4.72754,0.149718,43.81998,5.53635,16.54612,1.120338,0
Station3,22-12-2022,00:00:00,57.12032,5.25262,0.10521,25.7335,21.6871,54.2496,1.669838,2
station1,23-02-2022,17:20:00,84.8,8.6,0.093,24.85,1.2,19.8,2.63,0
Station3,17-04-2022,14:00:00,30.373448,6.25226,0.2388228,33.79095324,7.05432,53.149075,0.7232344,0
Station2,18-03-2022,15:40:00,29.696,5.988,0.070168,29.3986,7.6076,17.85,0.70574,1
station1,04-09-2022,20:40:00,17.3544,7.3402,0.02029,26.9696,11.2621,17.2572,0.22438,1
station1,08-10-2022,03:40:00,26.0029,5.8041,0.01645,28.5755,12.9882,38.1342,0.32314,2
Station3,29-05-2022,21:20:00,22.90064,4.69737,0.1213969,36.35596075,3.743479629,51.39846,0.55167,0
Station2,01-03-2022,20:00:00,118.8864,8.8822,0.0210504,26.95968,0.412,23.4954,2.19674,0
